vsx2,rx1,six3b,si:dkey-238o13.4,col15a1b,stra6,nr2e1,myb,wfdc1,tbx2a,crip3,hmx4,pax6b,cart3,AL954322.2,zic2b
hes2.2,six6b,si:dkey-238o13.4,cldn5b,foxn4,si:ch73-215f7.1,vsx2,ascl1a,slc38a3a,rx1,foxg1b,myb,crip3,nr2e1,mybl1,dlc
rx2,vsx2,rx1,hist1h2a5,hist1h2a11.4,zgc:165555,CR354435.2,si:dkey-108k21.21,si:dkey-108k21.19,hmx1,nr2e1,si:ch1073-153i20.5,si:dkey-261m9.12,si:ch211-113a14.24,hist1h2a2.1,si:ch1073-153i20.4
atoh7,tfap2d,prdm1b,ndrg1b,hes2.2,foxn4,mybl1,otx2b,slc38a3a,foxg1b,cspg5b,ptprua,bhlhe22,tbx2b,six6b,neurod4
vsx2,rx1,si:dkey-238o13.4,hmx4,six3b,crip3,si:dkey-261m9.12,tjp2b,fabp11a,umps,si:dkey-108k21.10,exosc8,pax6b,rnaseh2b,trmt6,myca
rx1,six3b,foxd1,fabp11a,fahd1,umps,cx43,myca,prmt3,cmss1,zgc:194224,dctpp1,ftsj3,exosc8,ddx51,atic
atoh7,mybl1,hes2.2,foxn4,dlc,bhlhe22,six6b,foxg1b,pou2f2a.1,rx1,vsx1,onecut1,dhx32b,tbx2b,insm1a,neurod4
nr2e3,samd7,six7,otx5,prdm1b,crx,tmx3a,zgc:109965,si:ch73-28h20.1,gngt2a,tulp1a,pde6gb,lhx4,fkbp1ab,elovl4b,ndrg1b
pax10,si:ch73-290k24.5,prdm13,gad2,tfap2b,sox12,barhl2,slc32a1,bhlhe22,six6b,foxg1b,lhx9,ndrg4,kctd15a,scrt1a,pde6gb
vsx2,rx1,hmx1,col15a1b,si:dkey-238o13.4,nr2e1,hmx4,six3b,myb,six3a,wfdc1,crip3,ggctb,cart3,dclk2a,tbx2a
zgc:112294,zgc:103625,rpgrip1,slc1a8a,opn6a,foxq2,CABZ01117619.1,glmnb,arhgap20,si:ch211-276a17.5,zgc:109965,tmem136b,rcvrna,sez6a,samd7,BX957322.3
cracr2ab,si:dkey-43k4.5,pmelb,msnb,slc24a5,rlbp1a,si:dkeyp-86d6.2,tyrp1a,sytl2b,mitfa,rlbp1b,slc45a2,fabp11b,dct,FP085398.1,cax1
aldh1a3,vax1,bmp7b,c1qtnf12,rx1,cyp27c1,vsx2,fezf2,stra6,col15a1b,caska,six3b,cx43,pou2f2a,lhx2b,pdzrn3b
nr2e3,samd7,BX957322.3,prdm1b,six7,CABZ01055522.1,otx5,tulp1a,sept4a,tmx3a,ndrg1b,zgc:109965,crabp1a,dscamb,crx,si:dkey-238o13.4
CABZ01055522.1,sept4a,si:dkey-238o13.4,crabp1a,vsx1,cldn5b,cspg5b,six6b,hes2.2,ptprua,olig2,si:ch73-215f7.1,CR848047.1,foxn4,foxg1b,sh3bgrl2
zgc:158291,pou6f2,irx4a,pou4f2,barhl1a,si:ch73-290k24.5,pax10,atoh7,tfap2d,rbpms2b,inab,kif3cb,isl2b,gng13b,isl1,pou4f1
slc38a3a,crabp1a,cldn5b,rx1,foxn4,foxg1b,si:dkey-238o13.4,six6b,crip3,ascl1a,myb,wfdc1,aplnra,enc3,cx43,si:ch73-215f7.1
sept4a,ndrg1b,CABZ01055522.1,cspg5b,vsx1,crx,fkbp1ab,crabp1a,ptprua,si:dkey-238o13.4,hes2.2,foxn4,foxg1b,otx5,otx2b,sox12
si:ch211-13f8.1,lrit1a,nyx,gabra4,gabrr2a,RIC3,cabp5a,igsf21b,si:ch211-232m10.6,nrn1lb,mfsd2b,rgs11,FAM163A,lactbl1b,trpm1a,si:ch211-160f23.7
